Ship,Flag,Sunk date,Notes,Coordinates
Skanderbeg,Italy,12-Feb-42,"A paddle steamer that was confiscated by the occupying Italians during WWII, then seized and scuttled in Lake Skadar by members of the Yugoslav Partisans, an anti-Nazi resistance group.",
Palmwood shipwreck,,1650-1660[13][14],Discovered in 2009 off Texel in the Wadden Sea,
MV Aqueity,United Kingdom,11-Nov-47,A tanker that struck a mine off Terschelling.,53°32′N 05°02′E
SS Berlin,United Kingdom,20-Feb-07,A ferry that was sunk near Hook of Holland during a storm.,
MV Christiaan Huygens,Netherlands,26-Aug-45,A troopship that struck a mine and was beached at the Zuid-Steenbank.,
HMS E47,Royal Navy,20-Aug-17,An E-class submarine that was sunk about 6 nautical miles (11 km) northwest of Texel.,53°6′8.10″N 4°33′28.0″E
HNLMS Johan Maurits van Nassau,Royal Netherlands Navy,14-May-40,A sloop that was sunk by German aircraft off Zijpe.,52°50′13″N 4°33′56″E
Katowice,Poland,1949,A Polish cargo ship sunk near Terschelling during a storm.,
HMS Lutine,French Navy,9 October 1799,A Magicienne-class frigate that ran aground on a sandbank off Terschelling with a large cargo of gold.,
SS Hertha Engeline Fritzen,Nazi Germany,26-Oct-41,A steamship that ran aground near the Nieuwe Waterweg.,
SS Rotterdam,Netherlands,26 September 1883,A passenger ship that ran aground off Haamstede.,51°41′08″N 3°36′50″E
U-7,Imperial German Navy,21-Jan-15,A Type U 5 U-boat that was sunk by friendly fire from U-22.,53°25′48″N 6°12′00″E
UB-61,Imperial German Navy,29-Nov-17,A Type UB III U-boat that was sunk by a mine off Vlieland.,53°20′N 4°56′E
UC-10,Imperial German Navy,21-Aug-16,A Type UC I U-boat that was torpedoed by HMS E54.,52°02′N 03°54′E
't Vliegend Hert (Flying Hart),Dutch East India Company,3 February 1735,"A Dutch East Indiaman that was lost after striking a sand bank off the coast of Vlissingen, Zeeland. Every one of the 461 sailors, soldiers and merchants aboard perished. The wreck was discovered in late 1981.",
Akerendam,Dutch East India Company,8 March 1725,"A Dutch East India Company ship that sank in a storm off Runde. In 1972, 57,000 gold and silver coins were recovered from the wreck.",
D/S Malmberget,Unknown,28 November 1913[15],,
FV Gaul,United Kingdom,Feb-74,A deep-sea trawler sunk in the Barents Sea.,
Z2 Georg Thiele,Kriegsmarine,13-Apr-40,A Type 1934-class destroyer that was run aground in the Second Naval Battle of Narvik.,68°24′N 17°35′E
ORP Grom,Polish Navy,4-May-40,A Grom-class destroyer that was bombed by German aircraft in Rombaken.,
Haakon Jarl II,Norway,17-Jun-24,An iron steamship sunk in the Vestfjorden following collision with another ship.,
MV Hamburg,Nazi Germany,1-Mar-41,A German fish factory transport ship sunk by a British destroyer in Lofoten.,
Z18 Hans Lüdemann,Kriegsmarine,13-Apr-40,A Type 1936-class destroyer that was scuttled in the Second Naval Battle of Narvik.,
HMS Hardy,Royal Navy,10-Apr-40,An H-class destroyer that was attacked by German destroyers and ran aground at Vidrek.,68°24′N 17°12′E
SS Henry,Norway,13-Feb-44,A civilian cargo ship that was sunk by a Royal Norwegian Navy torpedo boat off Kristiansund.,
HMS Hunter,Royal Navy,10-Apr-40,An H-class destroyer that was sunk by German destroyers in the First Battle of Narvik.,68°24′53″N 17°10′22″E
Z19 Hermann Künne,Kriegsmarine,13-Apr-40,A Type 1936-class destroyer that was scuttled in the Second Naval Battle of Narvik.,
SS Irma,Norway,13-Feb-44,A civilian cargo liner that was sunk by a Royal Norwegian Navy torpedo boat off Kristiansund.,
Karlsruhe,Kriegsmarine,9-Apr-40,A Königsberg-class light cruiser that was torpedoed by HMS Truant and scuttled off Kristiansand.,58°4′N 8°4′E
HDMS Lossen,Denmark-Norway,25 December 1717,A frigate wrecked off Hvaler in the Christmas flood of 1717.,
SS Martti Ragnar,Finland,22-Sep-39,A cargo ship that was sunk by U-4 in Skagerrak.,58°24′N 8°48′E
Murmansk,Russian Navy,24-Dec-94,"Soviet-era cruiser, grounded while being towed to India for scrapping.",70°38′10″N 21°57′24″E
SS Nerva,Norway,7-Sep-43,A Norwegian steamship that grounded during WWII at Rørvik.,
SS Nordnorge,Kriegsmarine,10-May-40,A troopship that was sunk by British warships at Hemnesberget.,
HNoMS Norge,Royal Norwegian Navy,9-Apr-40,An Eidsvold-class coastal defence ship that was sunk by the Z11 Bernd von Arnim at Narvik.,
USS O-12,United States Navy,20-Nov-31,An O-class submarine that was used for an Arctic expedition and was later scuttled in Byfjorden.,
HMS Oxley,Royal Navy,10-Sep-39,An Odin-class submarine that was sunk by friendly fire from HMS Triton.,58°30′N 5°30′E
MS Palatia,Kriegsmarine,21-Oct-42,"A cargo liner that was sunk by a New Zealand torpedo bomber, killing 986 people, most of them prisoners-of-war.",57°58.1′N 07°14′E
SS Prins Olav,Royal Norwegian Navy,9-Jun-40,A passenger/cargo ship that sunk by German aircraft in the Norwegian Sea whilst carrying troops.,67°07′N 01°00′E
MS Rigel,Nazi Germany,27-Nov-44,"A prisoner-of-war transport that was sunk by Supermarine Seafire fighters and Fairey Firefly dive-bombers from the Royal Navy aircraft carrier HMS Implacable, south of Sandnessjøen, with 2,572 deaths.",65°49′16″N 12°20′10″E
HNoMS Sæl,Royal Norwegian Navy,18-Apr-40,A 1.-class torpedo boat that was sunk in action with German warships in the Hardangerfjord,
SS Sanct Svithun,Norway,30-Sep-43,A steamship that was sunk by 6 Bristol Beaufighters aircraft from the Canadian 404 Squadron off the islet of Buholmen.,
Scharnhorst,Kriegsmarine,26-Dec-43,A German Scharnhorst-class battleship sunk in the Battle of North Cape.,72°16′N 28°41′E
MS Seattle,Nazi Germany,13-Apr-40,A cargo ship that was damaged in crossfire and sunk at Dvergsnestangen.,
SS Sekstant,Norway,4-May-40,A Norwegian steamship that was bombed during WWII at Rørvik.,
SS Sirius,Norway,18-May-40,A cargo ship that was sunk by a German bomber off Dyrøya.,
HNoMS Stegg,Royal Norwegian Navy,20-Apr-40,A Trygg-class torpedo boat that was sunk in action with German warships in the Hardangerfjord,
HNoMS Storm,Royal Norwegian Navy,13-Apr-40,A 1.-class torpedo boat that ran aground and sank in Hordaland,
HMS Thistle,Royal Navy,10-Apr-40,A T-class submarine that was torpedoed by U-4 off Stavanger.,59°00′N 05°00′E
Tirpitz,Kriegsmarine,12-Nov-44,A Bismarck-class battleship that was sunk by British aircraft off Tromsø in Operation Catechism.,
U-6,Imperial German Navy,15-Sep-15,A Type U 5 U-boat that was torpedoed by HMS E16 off Stavanger.,58°55′N 5°10′E
U-49,Kriegsmarine,15-Apr-40,A Type VIIB U-boat that was sunk by HMS Fearless and HMS Brazen near Harstad.,68°53′N 16°59′E
U-622,Kriegsmarine,24-Jul-43,A Type VIIC U-boat that was sunk by US aircraft at Trondheim.,63°27′N 10°23′E
U-711,Kriegsmarine,4-May-45,A Type VIIC U-boat that was sunk by British aircraft off Harstad during Operation Judgement.,68°48′N 16°38′E
U-737,Kriegsmarine,19-Dec-44,A Type VIIC U-boat that collided with German depot ship MRS 25 in the Vestfjorden.,
U-864,Kriegsmarine,9-Feb-45,A Type IXD2 U-boat that was scuttled by HMS Venturer while on a logistics mission to Japan.,60°46′10″N 4°37′15″E
HNoMS Uredd,Royal Norwegian Navy,24-Feb-43,A U-class submarine that ran into a minefield southwest of Fugløyvær.,67°5′N 13°31′E
Z21 Wilhelm Heidkamp,Kriegsmarine,11-Apr-40,A Type 1936-class destroyer that was sunk in the First Naval Battle of Narvik.,
Z9 Wolfgang Zenker,Kriegsmarine,13-Apr-40,A Type 1934A-class destroyer that was scuttled in the Second Naval Battle of Narvik.,
SS General von Steuben,Nazi Germany,10-Feb-45,A German luxury passenger liner turned armoured transport ship that was torpedoed and sunk by Soviet submarine S-13.,54°41′N 16°51′E
Graf Zeppelin,Soviet Navy,16-Aug-47,"Germany's only aircraft carrier in World War II, scuttled after the war by the Soviet Navy.",55°31′03″N 18°17′09″E
U-670,Kriegsmarine,20-Aug-43,A Type VIIC U-boat that sank in a collision with Bolkoburg in Gdańsk Bay.,54°50′N 19°15′E
U-854,Kriegsmarine,4-Feb-44,A Type IXC/40 U-boat that struck a mine north of Świnoujście.,54°1′N 14°16′E
Wilhelm Gustloff,Nazi Germany,30-Jan-45,"A passenger ship on a rescue mission torpedoed and sunk by Soviet submarine S-13 in the Baltic Sea. Over 9,000 people were lost.",55°04′22″N 17°25′17″E
SS Andrios,United Kingdom,20-Nov-26,A cargo ship that ran aground off the Berlengas Islands.,
HMS Apollo,Royal Navy,2 April 1804,An Apollo-class frigate that ran aground 9 nautical miles (17 km) south of Cape Mondego.,
SS Maria Grecia,Portugal,Unknown,"A freight vessel sunk off the coast of Sesimbra, in the early 20th century.",
Numancia,Spanish Navy,17-Dec-16,A Spanish war frigate sunk in the bay of Sesimbra.,
The Pepper Wreck,Portuguese East India Company,14 September 1606,A Portuguese Indiaman found at the mouth of the Tagus.,
SS Pimpao de Odemira,Kingdom of Portugal,18-May-04,A Portuguese freight vessel sank off the coast of Cabo Espichel.,
MV River Gurara,Nigeria,1989,"A Nigerian freight vessel sank off the coast of Cabo Espichel, Setubal.",
Run'her,Confederate States of America,1863,A Confederate steamship that sank in the Angra do Heroísmo Bay.,
Spanish ship San Pedro de Alcantara,Spanish Navy,2 February 1786,A man-of-war that sank near Peniche with a cargo of treasure.,
Suffren,French Navy,26-Nov-16,A République-class battleship that was torpedoed by U-52 off Lisbon.,
U-1277,Kriegsmarine,3-Jun-45,A Type VIIC/41 U-boat that was scuttled off Porto.,
SS Woodham,United Kingdom,9 December 1876,A British steamboat sunk off the coast of Lisbon.,
Unknown,Unknown,Between 1575 and 1625,"A ship sunk off the coast of Cascais, carrying Chinese ceramics, pepper and cowries.[16]",
Nossa Senhora da Luz,Kingdom of Portugal,7 November 1615,"Carrying Chinese and Burmese porcelain, pots and copper utensils, the caravel sunk in Porto Pim, (island of Faial) in the Azores during a storm, with a loss of 150 men.",
Cais do Sodré shipwreck,Unknown,16th century,"Found in Lisbon in April 1995, during the excavation of a subway station.",
MV Akra Aktion,Greece,19-Feb-81,"A Greek cargo ship, ran ashore at Vama Veche. The crew was saved but the ship remained on the spot. For many years, it remained visible above the water, but decayed over time due to rust and waves. The shipwreck is now completely under the water.",
MV E Evangelia,Greece,15-Oct-68,"A Greek freighter, grounded off Costinesti; part of an insurance fraud.",
Shch-213,Soviet Navy,14-Oct-42,A Shchuka-class submarine that struck a mine 6 nautical miles (11 km) from Constanta.,
SS Admiral Nakhimov,Soviet Union,31-Aug-86,An ocean liner that collided with the Pyotr Vasev in Tsemes Bay.,44°36′15″N 37°52′35″E
Agnes Blaikie,United Kingdom,5 May 1855,A British sailing vessel sunk in a collision with HMS Medina in the Black Sea near Balaklava.,
Armenia,Soviet Union,7-Nov-41,"A Soviet hospital ship sunk by German torpedo-carrying planes; estimated over 5,000 casualties.",44°15′N 34°17′E
HMS Bluebell,Royal Navy,17-Feb-45,A Flower-class corvette that was torpedoed by U-711 in the Kola Inlet.,69°24′N 33°42′E
MV Bulgaria,Russia,10-Jul-11,A Russian cruise ship lost in a storm on the Volga River.[17],55°03′47″N 49°09′07″E
HMS Denbigh Castle,Royal Navy,13-Feb-45,A Castle-class corvette that was torpedoed by U-992 and sank under tow in the Kola Inlet.,69°20′N 33°33′E
USS Herndon,United States Navy,16-Jan-45,A Clemson-class destroyer that was sunk off the Murman Coast.,69°15′N 37°2′E
K-159,Russian Navy,30-Aug-03,"A Soviet-era submarine that accidentally sank while being towed for scrapping in the Barents Sea. She was decommissioned in 1989, prior to sinking, but both of her nuclear reactors are still on board.",69°22.64′N 33°49.51′E
K-27,Soviet Navy,6-Sep-82,Soviet submarine scuttled in the Kara Sea by the Soviet Navy. The boat had suffered irreparable nuclear reactor plant damage at sea in 1968. Both nuclear reactors are still on board.,72°31′N 55°30′E
HMS Matabele,Royal Navy,17-Jan-42,A Tribal-class destroyer that was torpedoed by U-454 off Teriberka.,69°21′N 35°27′E
SS Revoljucija,Soviet Union,3-Dec-44,A cargo ship that was torpedoed by U-1163 near Semiostrovskiy Reid.,68°44′N 37°49′E
U-286,Kriegsmarine,29-Apr-45,A Type VIIC U-boat that was sunk by three British frigates north of Murmansk.,69°29′N 33°37′E
U-763,Kriegsmarine,26-Jan-45,A Type VIIC U-boat that was scuttled at Königsberg (now Kaliningrad) after taking damage in a Soviet air raid.,54°42′N 20°32′E
Spanish battleship Alfonso XIII,Spanish Republican Navy,30-Apr-37,A Spanish España-class battleship sunk by a mine off Santander.,
HMS Britannia,Royal Navy,9-Nov-18,A King Edward VII-class battleship that was torpedoed by UB-50 off Cape Trafalgar.,
Spanish submarine C-3,Spanish Republican Navy,12-Dec-36,A Spanish C-class submarine that was torpedoed by U-34 about 4 nautical miles (7.4 km) southeast of Málaga.,
HMS Captain,Royal Navy,6 September 1870,A warship that capsized in a storm off Cape Finisterre.,
MV Cason,Panama,5-Dec-87,A cargo ship that caught fire and was grounded off Cape Finisterre.,
RMS Douro,United Kingdom,1 April 1882,A Royal Mail Ship that sank off the coast of Cape Finisterre after colliding with the Spanish steamship Yrurac Bat.,
HMS Egret,Royal Navy,27-Aug-43,An Egret-class sloop sunk by enemy aircraft near Vigo.,42°10′N 9°22′W﻿ / ﻿42.167°N 9.367°W﻿ / 42.167; -9.367﻿ (HMS E
Duchess of York,United Kingdom,12-Jul-43,A UK troopship sunk by UK torpedoes after German aerial bombardment left her burning.,
USS Jallao,United States Navy,1985,A Balao-class submarine that was scuttled off Cartagena.,38°03′N 133°12′E
Soviet submarine K-8,Soviet Navy,12-Apr-70,A November-class submarine that caught fire and sank while being towed in the Bay of Biscay. Four nuclear warheads and two nuclear reactors are still on board.,
Spanish ship Neptuno,Spanish Navy,23 October 1805,A Spanish Montañés-class ship of the line wrecked in the Bay of Cádiz.,
MV Neretva,Croatia,13-Aug-92,A merchant ship that sank off Ribadesella. It lies on sand at a depth of 50 metres (160 ft).,
Prestige,Bahamas,19-Nov-02,An oil tanker that sank off Galicia.,
Sirio,Kingdom of Italy,4-Aug-06,"An Italian merchant steamship which ran aground on a reef off Cape Palos and the Hormigas Islands off the Spanish coast, killing hundreds of migrants to Argentina.",
U-106,Kriegsmarine,2-Aug-43,A German Type IXB U-boat sunk by enemy aircraft off Cape Ortegal.,
U-138,Kriegsmarine,18-Jun-41,A German Type IID U-boat sunk by depth charges off Cadiz.,
U-751,Kriegsmarine,17-Jul-42,A German Type VIIC U-boat sunk by depth charges off Cape Ortegal.,
U-755,Kriegsmarine,28-May-43,A German Type VIIC U-boat sunk off Isla de Alborán.,
U-77,Kriegsmarine,28-Mar-43,A German Type VIIC U-boat sunk off Cartagena.,37°42′N 00°10′E
SS Yrurac Bat,Spain,1 April 1882,A Spanish steamship that sank off the coast of Cape Finisterre after colliding with RMS Douro.,
SS Rex,Kingdom of Italy,8-Sep-44,An Italian liner that sank near Koper after being hit by rockets fired by RAF aircraft.,45°32′56″N 13°41′31″E
SS August Helmerich,German Empire,30-Sep-19,A cargo ship that collided with SS Normandie off Dalarö.,
Dalarö wreck,Unknown,17th century,A shipwreck discovered in 2003 off Dalarö.,
MV Finnbirch,Sweden,1-Nov-06,A RORO ferry that capsized in a storm.,56°45′03″N 17°15′06″E
Gribshunden,Denmark,1495,"Warship discovered in the 1970s, one of the best-preserved wrecks from the late medieval period.",56°8′41.2″N 15°13′15.3″E
Herakles,Sweden,2-Mar-04,A towboat that foundered in heavy weather and was wrecked near Grundkallen.,
SS I P Suhr,Denmark,1-Dec-50,A cargo ship that capsized 5 nautical miles (9.3 km) off Sandhammaren.,
Kronan,Swedish Navy,1 June 1676,"The largest warship in the Swedish navy during the Scanian War. It sank in rough weather in the Battle of Öland, and was rediscovered in 1980.",56°26′58″N 16°40′20″E
Luleå Northern Harbour Wreck,Unknown,c1700,A wreck in Luleå Northern Harbour measuring 7m by 20m made from wood dated to approximately 1700. Discovered during the Sailing World Cup held in Luleå in 1988 and dated in 2011.,
Mars,Swedish Navy,31 May 1564,A Swedish warship that was sunk 18 kilometres north of Öland during the Northern Seven Years' War.,
S-2,Soviet Navy,2-Jan-40,A Soviet S-class submarine that hit a mine west of Åland.,
S-7,Soviet Navy,21-Oct-42,A Soviet S-class submarine that was torpedoed by Vesihiisi off Stockholm.,59°51′N 19°32′E
Som,Swedish Navy,10-May-16,A Som-class submarine that sank in a collision in the Sea of Åland.,60°00′N 18°56′E
SV Swiks,Åland,21-Dec-26,"A three-masted schooner, built 1902, that sank in a storm off the coast of Öland.",
Vasa,Swedish Navy,10 August 1628,A Swedish warship that foundered on her maiden voyage and sank in Stockholm.,59°19′40″N 18°05′28″E
SS Westfalen,Kriegsmarine,7-Sep-44,A prisoner transport that was sunk by a mine off Marstrand.,57°46′47″N 11°27′22″E
Moskva,Russian Navy,14-Apr-22,A Slava-class cruiser that was hit by two Neptune missiles fired by Ukrainians in the Russo-Ukrainian War 80 nautical miles (150 km) south of Odesa.,45°10′43″N 30°55′31″E
Novorossiysk,Soviet Navy,29-Oct-55,"A Conte di Cavour-class battleship that exploded in Sevastopol Bay, resulting in 608 deaths.",44°37′7″N 33°32′8″E
HMS Tiger,Royal Navy,11 May 1854,A steam frigate that was grounded in the Crimean War 5 nautical miles (9.3 km) southwest of Odesa.,
U-180,Kriegsmarine,23-Aug-44,A Type IXD1 U-boat sunk off Soorts-Hossegor.,
Ajax,Denmark,25-Dec-17,A cargo ship that was torpedoed by U-104 south of Audierne.,
HMS Amazon,Royal Navy,14 January 1797,A frigate that ran aground at Audierne.,
HMS Amfitrite,Royal Navy,4 March 1807,A frigate wrecked off Ushant.,
Amoco Cadiz,Liberia,16-Mar-78,"A supertanker that ran aground at Portsall, causing an oil spill.",
HMS Arethusa,Royal Navy,19 March 1779,"Royal Navy frigate, wrecked off Ushant after sustaining considerable damage in a battle with the French ship Aigrette.",
Asgard II,Ireland,11-Sep-08,A brigantine that sank off Belle Île.,
HMCS Athabaskan,Royal Canadian Navy,29-Apr-44,A Tribal-class destroyer that was torpedoed by T24 off Plouguerneau.,
Auguste,French Navy,29 January 1795,A ship of the line caught in a tempest off Brest.,
Böhlen,East Germany,14 Octobre 1976,An oil tanker that sank after going aground off the Île de Sein,
HMS Charybdis,Royal Navy,23-Oct-43,A Dido-class cruiser that was sunk by German torpedo boats off the north coast of Brittany.,
Droits de l'Homme,France,1797,Sunk after going aground off Plozévet.,
Empire Conyngham,United Kingdom,20-Jun-49,A cargo ship that was scuttled off Brest.,47°52′N 8°51′W﻿ / ﻿47.867°N 8.850°W﻿ / 47.867; -8.850﻿ (SS E
Erika,Malta,12-Dec-99,"An oil tanker that sank in the Bay of Biscay, causing an oil spill.",47°9′N 4°15′W﻿ / ﻿47.150°N 4.250°W﻿ / 47.150; -4.250﻿ (MV E
HMS Firm,Royal Navy,29 June 1811,A gun-brig wrecked off Cancalle Bay.,
France,French Navy,26-Aug-22,A Courbet-class battleship that struck a rock in Quiberon Bay.,
USS Gypsum Queen,United States Navy,28-Apr-19,A tugboat that struck a rock off Brest.,
Hilda,United Kingdom,18-Dec-05,A steamship that hit the Pierre de Portes rocks in thick fog and sank off Saint-Malo.,
SS London,United Kingdom,11 January 1864,Sunk in a storm in the Bay of Biscay.,
HMS Magnificent,Royal Navy,25 March 1804,A Ramillies-class ship of the line that struck a reef off Brest.,
HMS Monkey (1801),Royal Navy,25 December 1810,A gun-brig wrecked on Belle Île while participating in the blockade of Lorient.,
Neptune,French Navy,28 December 1794,A ship of the line wrecked off Brest during the Croisière du Grand Hiver.,
HMS Repulse,Royal Navy,10 March 1800,An Intrepid-class ship of the line abandoned in the Glénan islands.,
Royal Louis,French Navy,24 December 1794,A ship of the line that ran aground off Brest.,
Saint-Esprit,French Navy,30 January 1795,A Saint-Esprit-class ship of the line wrecked off Brest during Croisière du Grand Hiver.,
Séduisant,French Navy,16 December 1796,A Séduisant-class ship of the line wrecked off Brest.,
Superbe,French Navy,30 January 1795,A Téméraire-class ship of the line wrecked off Brest during the Croisière du Grand Hiver.,
U-103,Imperial German Navy,12-May-18,A German submarine that was rammed by RMS Olympic off Brest.,
U-171,Kriegsmarine,9-Oct-42,A Type IXC U-boat that was sunk near Lorient.,
U-441,Kriegsmarine,8-Jun-44,A Type VIIC U-boat that was sunk off Ushant.,
U-526,Kriegsmarine,14-Apr-43,A Type IXC/40 U-boat that was sunk by mines near Lorient.,
U-767,Kriegsmarine,18-Jun-44,A Type VIIC U-boat that was sunk by British destroyers north of Tréguier.,
U-821,Kriegsmarine,10-Jun-44,A Type VIIC U-boat that was sunk by aircraft off Ushant.,
UC-36,Imperial German Navy,21-May-17,A German Type UC II U-boat that was rammed by French steamer Molière off Ushant.,
HMS Affray,Royal Navy,16-Apr-51,An Amphion-class submarine lost near Hurds Deep.,
Baden,Royal Navy,16-Aug-21,A Bayern-class dreadnought sunk as a target in Hurd Deep.,
HMS Dragon,Royal Navy,15 March 1712,"A frigate that served in the Anglo-Dutch Wars, and was wrecked near Guernsey.",
HMS Lady Olive,Royal Navy,19-Feb-17,A Q ship that was sunk by SM UC-18 west of Jersey.,
Stella,United Kingdom,30 March 1899,A passenger ferry that hit a granite reef off the Casquets.,
UC-18,Imperial German Navy,19-Feb-17,A German minelaying submarine sunk by Q ship Lady Olive west of Jersey.,
HMS Fleche,Royal Navy,12 November 1795,A corvette that ran aground and capsized in the bay of Saint-Florent.,
HMS Saracen,Royal Navy,14-Aug-43,An S-class submarine that was attacked by Italian corvettes and scuttled off Bastia.,42°45′N 9°30′E
Wreck of Rochelongue,,,"A shipwreck found west of Cap d'Agde dating to the Iron Age, around 600 BC.",
Abukir,United Kingdom,28-May-40,"A steamship that was torpedoed by S-34 northeast of Calais, while evacuating soldiers and civilians from Ostend.",51°12′N 2°10′E
L'Adroit,French Navy,25-May-40,A L'Adroit-class destroyer that was bombed by German aircraft off Dunkirk.,51°03′N 2°23′E
HMS Assistance,Royal Navy,29 March 1802,A fourth-rate ship that hit a sandbank off Dunkirk.,
Elizabeth,,28 December 1810,"A cargo ship wrecked on the Dunkirk brake, with at least 380 deaths.",
HMS Grenade,Royal Navy,29-May-40,A G-class destroyer that was sunk by German Stuka dive bomber aircraft during the Battle of Dunkirk.,51°24′28″N 2°49′10″E
HMS Havant,Royal Navy,1-Jun-40,A H-class destroyer that was scuttled after taking damage in the Battle of Dunkirk.,51°08′00″N 2°15′49″E
HMS Hermes,Royal Navy,31-Oct-14,A Highflyer-class cruiser torpedoed by German submarine U-27.,51°06′18″N 1°50′18″E
HMS Keith,Royal Navy,1-Jun-40,A B-class destroyer sunk at Dunkirk by enemy aircraft.,51°04′46″N 02°26′47″E
HMS Laforey,Royal Navy,23-Mar-17,A Laforey-class destroyer that hit a mine off Cap Gris Nez.,
Huntley,United Kingdom,21-Nov-15,"A German hospital ship seized by the Royal Navy, and torpedoed by UB-10 off Boulogne.",
U-109,Imperial German Navy,26-Jan-18,A German submarine sunk in the English Channel.,50°53′N 1°31′E
UC-26,Imperial German Navy,8-May-17,A German minelaying submarine rammed by HMS Milne off Calais.,51°03′N 01°40′E
UC-61,Imperial German Navy,26-Jul-17,A German minelaying submarine stranded and scuttled off Boulogne.,50°53′N 01°33′E
UC-79,Imperial German Navy,1918,A German minelaying submarine sunk by a mine off Cap Gris Nez.,
CSS Alabama,Confederate States Navy,11 June 1864,A screw sloop-of-war sunk off Cherbourg-Octeville during the American Civil War.,
Amsterdam,Royal Navy,7-Aug-44,A hospital ship that was sunk by a mine while taking casualties from Juno Beach.,
HMS Berkeley,Royal Navy,19-Jul-42,A Hunt-class destroyer that was damaged by German bombers and scuttled off Dieppe.,49°59′N 01°02′E
HMS Britomart,Royal Navy,27-Aug-44,"A Halcyon-class minesweeper that was, along with HMS Hussar, accidentally sunk by RAF Hawker Typhoons off Le Havre.",
HMS Capel,Royal Navy,26-Dec-44,A Captain-class frigate that was torpedoed by U-486 off Cherbourg.,
HMS Centurion,Royal Navy,7-Jun-44,A King George V-class battleship sunk as a breakwater off Avranches.,
La Combattante,Free French Naval Forces,23-Feb-45,"A Hunt-class destroyer that was used by the Free French Naval Forces, and sank off Normandy.",
USS Corry,United States Navy,6-Jun-44,A Gleaves-class destroyer sunk off Îles Saint-Marcouf during the D-Day landings.,
HMS D3,Royal Navy,12-Mar-18,A D-class submarine that was mistakenly bombed by a French airship off Fecamp.,
HMS Daffodil,Royal Navy,18-Mar-45,"A train ferry that was requisitioned by the Royal Navy as an amphibious warfare ship, and was sunk by a mine off Dieppe.",50°02′N 01°04′E
Derrycunihy,United Kingdom,24-Jun-44,A troopship that was sunk by a mine off Sword Beach.,
HMS Derwent,Royal Navy,2-May-17,A River-class destroyer sunk off Le Havre by a mine laid by German submarine UC-26.,
ORP Dragon,Polish Navy,7-Jul-44,A Danae-class cruiser that was transferred to the Polish Navy and then scuttled near Courseulles.,
HMS Durban,Royal Navy,9-Jun-44,A Danae-class light cruiser that was scuttled as a breakwater off Ouistreham.,
USS Eastern Shore,United States Navy,4-Aug-44,A cargo ship sunk to form part of a Mulberry harbour.,
HMS Eden,Royal Navy,18-Jun-16,A River-class destroyer that collided with SS France off Fécamp.,
Empire Broadsword,Royal Navy,Jul-44,An infantry landing ship sunk by a mine off Normandy.,49°25′N 0°54′W﻿ / ﻿49.417°N 0.900°W﻿ / 49.417; -0.900﻿ (SS E
Empire Javelin,Royal Navy,28-Dec-44,An infantry landing ship that was sunk in the English Channel.,50°5′N 1°0′W﻿ / ﻿50.083°N 1.000°W﻿ / 50.083; -1.000﻿ (SS E
Galeka,Royal Navy,28-Oct-16,A hospital ship that struck a mine while entering Le Havre.,49°34′N 0°5′E
USS Glennon,United States Navy,10-Jun-44,A Gleaves-class destroyer that hit a mine and was sunk by shore batteries in the Baie de la Seine.,
HMS Hussar,Royal Navy,27-Aug-44,"A minesweeper sunk by friendly fire off Le Havre, along with HMS Britomart.",
HMS Isis,Royal Navy,20-Jul-44,An I-class destroyer sunk off the coast of Normandy.,
Komet,Kriegsmarine,14-Oct-42,A German auxiliary cruiser sunk by British motor torpedo boats near La Hague.,
HMHS Lanfranc,Royal Navy,17-Apr-17,A hospital ship torpedoed by German submarine UB-40 off Le Havre.,50°06′36″N 0°07′12″E
Léopoldville,Belgium,24-Dec-44,"A former Belgian passenger liner converted to a transport ship, torpedoed 5 nautical miles (9.3 km) from the coast of Cherbourg-Octeville.",
USS Miantonomah,United States Navy,25-Sep-44,A cargo ship and minelayer sunk by a mine off Le Havre.,49°26′29″N 0°11′31″E
USS Partridge,United States Navy,11-Jun-44,A Lapwing-class minesweeper sunk by German E-boats off Vierville-sur-Mer.,
USS PC-1261,United States Navy,6-Jun-44,"A PC-461-class submarine chaser, and the first ship sunk during the D-Day landings.",
Pennsylvanian,United States,16-Jul-44,A cargo ship scuttled to form part of a Mulberry harbour.,
HMS Pylades,Royal Navy,8-Jul-44,A Catherine-class minesweeper sunk off Juno Beach.,
HMS Quorn,Royal Navy,3-Aug-44,A Hunt-class destroyer sunk off the coast of Normandy.,
USS Rich,United States Navy,8-Jun-44,A Buckley-class destroyer escort that hit three mines off Îles Saint-Marcouf.,49°31′N 1°10.6′W﻿ / ﻿49.517°N 1.1767°W﻿ / 49.517; -1.1767﻿ (USS Rich (DE
HMHS Salta,Royal Navy,10-Apr-17,A hospital ship that hit a mine laid by UC-26 off Le Havre.,
HMS Shannon,Royal Navy,10 December 1803,A frigate wrecked off Tatihou.,
Soleil Royal,French Navy,3 June 1692,A ship of the line beached at Cherbourg and destroyed by fireships.,
USS Susan B. Anthony,United States Navy,7-Jun-44,"A transport ship sunk by a mine off Normandy; all 2,689 people aboard were rescued.",
HNoMS Svenner,Royal Norwegian Navy,6-Jun-44,"An S-class destroyer that served in the Royal Norwegian Navy, and was sunk off Sword Beach.",
